id,title ,image_link ,country ,years ,director_description,leader,star ,description,tags,
127,阳光灿烂的日子,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2564685215.jpg,中国大陆 中国香港,1994, 姜文 Wen Jiang, 夏雨 Yu Xia,8.8,一场华丽的意淫。,剧情/爱情,
128,完美的世界,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2190556408.jpg,美国,1993, 克林特·伊斯特伍德 Clint Eastwood, 凯文·科斯特纳 Kevin Cos...,9.1,坏人的好总是比好人的好来得更感人。,剧情/犯罪,
129,头脑特工队,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2874927470.jpg,美国,2015, 彼特·道格特 Pete Docter, 彼特·道格特 Pete Docter,8.8,愿我们都不用长大，每一座城堡都能永远存在。,喜剧/动画/冒险,
130,天使爱美丽,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2447590313.jpg,法国 德国,2001, 让-皮埃尔·热内 Jean-Pierre Jeunet, 奥黛丽·塔图 Audrey Tau...,8.7,法式小清新。 ,剧情/喜剧/爱情,
131,小森林 夏秋篇,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2564498893.jpg,日本,2014, 森淳一 Junichi Mori, 桥本爱 Ai Hashimoto,9.0,那些静得只能听见呼吸的日子里，你明白孤独即生活。,剧情,
132,驯龙高手,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2210954024.jpg,美国,2010, 迪恩·德布洛斯 Dean DeBlois, 迪恩·德布洛斯 Dean DeBlois,8.8,和谐的生活离不开摸头与被摸头。,动画/奇幻/冒险,
133,新世界,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1903379979.jpg,韩国,2013, 朴勋政 Hoon-jung Park, 李政宰 Jung-Jae Lee,8.9,要做就做得狠一点，这样才能活下去。,剧情/犯罪,
134,侧耳倾听,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456692072.jpg,日本,1995, 近藤喜文 Yoshifumi Kondo, 本名阳子 Youko Honna,8.9,少女情怀总是诗。,剧情/爱情/动画,
135,怪兽电力公司,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2513247938.jpg,美国,2001, 彼特·道格特 Pete Docter, 彼特·道格特 Pete Docter,8.8,不要给它起名字，起了名字就有感情了。,儿童/喜剧/动画/奇幻/冒险,
136,傲慢与偏见,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2016401659.jpg,法国 英国 美国,2005, 乔·怀特 Joe Wright, 凯拉·奈特莉 Keira Knightley,8.7,爱是摈弃傲慢与偏见之后的曙光。,剧情/爱情,
137,教父3,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2169664351.jpg,美国,1990, 弗朗西斯·福特·科波拉 Francis Ford Coppola, 阿尔·帕西诺 A...,9.0,任何信念的力量，都无法改变命运。,剧情/犯罪,
138,玩具总动员3,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1283675359.jpg,美国,2010, 李·昂克里奇 Lee Unkrich, 汤姆·汉克斯 Tom Hanks,8.9,跨度十五年的欢乐与泪水。,喜剧/动画/奇幻/冒险,
139,一个叫欧维的男人决定去死,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2406624993.jpg,瑞典,2015, 汉内斯·赫尔姆 Hannes Holm, 罗夫·拉斯加德 Rolf Lassgård...,8.9,惠及一生的美丽。,剧情,
140,幸福终点站,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p854757687.jpg,美国,2004, 史蒂文·斯皮尔伯格 Steven Spielberg, 汤姆·汉克斯 Tom Hanks...,8.8,有时候幸福需要等一等。 ,喜剧/剧情/爱情,
141,色，戒,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p453716305.jpg,中国台湾 中国大陆 美国 中国香港,2007, 李安 Ang Lee, 梁朝伟 Tony Leung Chiu Wai,8.7,假戏真情，爱欲深海,剧情/爱情/情色,
142,小森林 冬春篇,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2618201652.jpg,日本,2015, 森淳一 Junichi Mori, 桥本爱 Ai Hashimoto,9.0,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,剧情,
143,被解救的姜戈,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1800813767.jpg,美国,2012, 昆汀·塔伦蒂诺 Quentin Tarantino, 杰米·福克斯 Jamie Foxx,8.8,热血沸腾，那个低俗、性感的无耻混蛋又来了。,剧情/动作/西部/冒险,
144,釜山行,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2360940399.jpg,韩国,2016, 延尚昊 Sang-ho Yeon, 孔侑 Yoo Gong,8.6,揭露人性的丧尸题材力作。,动作/惊悚/灾难,
145,神偷奶爸,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792776858.jpg,美国 法国,2010, 皮艾尔·柯芬 Pierre Coffin, 皮艾尔·柯芬 Pierre Coffin,8.7,Mr. I Don't Care其实也有Care的时候。,喜剧/动画/冒险,
146,九品芝麻官,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p648370300.jpg,中国香港 中国大陆,1994, 王晶 Jing Wong, 周星驰 Stephen Chow,8.8,,剧情/喜剧/古装,
147,萤火之森,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1675053073.jpg,日本,2011, 大森贵弘 Takahiro Omori, 佐仓绫音 Ayane Sakura,8.8,触不到的恋人。,剧情/爱情/动画/奇幻,
148,哪吒闹海,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2532803206.jpg,中国大陆,1979, 王树忱 Shuchen Wang, 王树忱 Shuchen Wang,9.2,想你时你在闹海。,冒险/动画/奇幻,
149,告白,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p689520756.jpg,日本,2010, 中岛哲也 Tetsuya Nakashima, 松隆子 Takako Matsu,8.8,没有一人完全善，也没有一人完全恶。,剧情/悬疑,
150,喜宴,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2249048907.jpg,中国台湾 美国,1993, 李安 Ang Lee, 赵文瑄 Winston Chao,9.0,中国家庭的喜怒哀乐忍。,剧情/喜剧/爱情/同性/家庭,
151,玛丽和马克思,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p488255145.jpg,澳大利亚 美国,2009, 亚当·艾略特 Adam Elliot, 托妮·科莱特 Toni Collette,9.0,你是我最好的朋友，你是我唯一的朋友 。,剧情/喜剧/动画,
152,花样年华,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2917498801.jpg,中国香港,2000, 王家卫 Kar Wai Wong, 梁朝伟 Tony Leung Chiu Wai,8.8,偷情本没有这样美。,剧情/爱情,
153,头号玩家,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2516578307.jpg,美国,2018, 史蒂文·斯皮尔伯格 Steven Spielberg, 泰伊·谢里丹 Tye Sheri...,8.6,写给影迷，动漫迷和游戏迷的一封情书。,动作/科幻/冒险,
154,模仿游戏,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2255040492.jpg,英国 美国,2014, 莫滕·泰杜姆 Morten Tyldum, 本尼迪克特·康伯巴奇 Benedict C...,8.8,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,剧情/传记/战争/同性,
155,大鱼,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p692813374.jpg,美国,2003, 蒂姆·波顿 Tim Burton, 伊万·麦克格雷格 Ewan McGregor,8.8,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,剧情/爱情/奇幻/冒险,
156,七武士,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2215886505.jpg,日本,1954, 黑泽明 Akira Kurosawa, 三船敏郎 Toshirô Mifune,9.3,时代悲歌。,动作/冒险/剧情,
157,射雕英雄传之东成西就,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2609063922.jpg,中国香港,1993, 刘镇伟 Jeffrey Lau, 梁朝伟 Tony Leung Chiu Wai,8.7,百看不厌。 ,喜剧/奇幻/武侠/古装,
158,惊魂记,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1021883305.jpg,美国,1960, 阿尔弗雷德·希区柯克 Alfred Hitchcock, 安东尼·博金斯 Antho...,9.0,故事的反转与反转，分裂电影的始祖。,悬疑/惊悚/恐怖,
159,血战钢锯岭,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2398141939.jpg,澳大利亚 美国,2016, 梅尔·吉布森 Mel Gibson, 安德鲁·加菲尔德 Andrew Garfield,8.7,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,剧情/传记/历史/战争,
160,我是山姆,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p652417775.jpg,美国,2001, 杰茜·尼尔森 Jessie Nelson, Sean Penn,9.0,爱并不需要智商 。,剧情/家庭,
161,阳光姐妹淘,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1374786017.jpg,韩国,2011, 姜炯哲 Hyeong-Cheol Kang, 沈恩京 Eun-kyung Shim,8.8,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,剧情/喜剧,
162,你的名字。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2910701461.jpg,日本,2016, 新海诚 Makoto Shinkai, 神木隆之介 Ryûnosuke Kamiki,8.5,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,剧情/爱情/动画,
163,恐怖直播,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2016930906.jpg,韩国,2013, 金秉祐 Byeong-woo Kim, 河正宇 Jung-woo Ha,8.7,恐怖分子的“秋菊打官司”。,剧情/犯罪/悬疑,
164,黑客帝国3：矩阵革命,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p443461818.jpg,美国,2003, 拉娜·沃卓斯基 Lana Wachowski, 拉娜·沃卓斯基 Lana Wachowski,8.8,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,动作/科幻,
